INFO:2022-12-05 01:01:04:flag punishment activated! All rewards will be rectified!
INFO:2022-12-05 01:01:41:epsilon is 0.3, episode is 0
INFO:2022-12-05 01:26:32:running reward: -21544.60 at episode 5, frame count 13600, epsilon 0.08044736266284182
INFO:2022-12-05 01:26:43:running reward: -21544.60 at episode 5, frame count 13700, epsilon 0.02914519256800991
INFO:2022-12-05 01:26:54:running reward: -21544.60 at episode 5, frame count 13800, epsilon 0.010558981944335787
INFO:2022-12-05 01:27:05:running reward: -21544.60 at episode 5, frame count 13900, epsilon 0.003825402746632875
INFO:2022-12-05 01:27:16:running reward: -21544.60 at episode 5, frame count 14000, epsilon 0.0013859012403933883
INFO:2022-12-05 01:27:29:running reward: -21544.60 at episode 5, frame count 14100, epsilon 0.05206374846632575
INFO:2022-12-05 01:27:40:running reward: -21544.60 at episode 5, frame count 14200, epsilon 0.018862122071335176
INFO:2022-12-05 01:27:51:running reward: -21544.60 at episode 5, frame count 14300, epsilon 0.006833538873292304
INFO:2022-12-05 01:28:02:running reward: -21544.60 at episode 5, frame count 14400, epsilon 0.0024757157946593404
INFO:2022-12-05 01:28:12:running reward: -21544.60 at episode 5, frame count 14500, epsilon 0.09300449458481394
INFO:2022-12-05 01:28:24:running reward: -21544.60 at episode 5, frame count 14600, epsilon 0.0336945030221216
INFO:2022-12-05 01:28:35:running reward: -21544.60 at episode 5, frame count 14700, epsilon 0.012207146966133196
INFO:2022-12-05 01:28:44:running reward: -21544.60 at episode 5, frame count 14800, epsilon 0.004422514763163049
INFO:2022-12-05 01:28:55:running reward: -21544.60 at episode 5, frame count 14900, epsilon 0.0016022283408774788
INFO:2022-12-05 01:29:05:running reward: -21544.60 at episode 5, frame count 15000, epsilon 0.06019044567806663
INFO:2022-12-05 01:29:15:running reward: -21544.60 at episode 5, frame count 15100, epsilon 0.02180633487506329
INFO:2022-12-05 01:29:25:running reward: -21544.60 at episode 5, frame count 15200, epsilon 0.007900194712408964
INFO:2022-12-05 01:29:35:running reward: -21544.60 at episode 5, frame count 15300, epsilon 0.0028621534453892733
INFO:2022-12-05 01:29:45:running reward: -21544.60 at episode 5, frame count 15400, epsilon 0.001036926638287344
INFO:2022-12-05 01:29:55:running reward: -21544.60 at episode 5, frame count 15500, epsilon 0.03895392117442729
INFO:2022-12-05 01:30:06:running reward: -21544.60 at episode 5, frame count 15600, epsilon 0.014112576178114535
INFO:2022-12-05 01:30:16:running reward: -21544.60 at episode 5, frame count 15700, epsilon 0.005112830759482943
INFO:2022-12-05 01:30:25:running reward: -21544.60 at episode 5, frame count 15786, epsilon 0.0011149209970080917
INFO:2022-12-05 01:30:25:time per episode 263.7489 seconds
INFO:2022-12-05 01:30:25:epsilon is 0.0011149209970080917, episode is 6
INFO:2022-12-05 01:30:27:running reward: -21448.17 at episode 6, frame count 15800, epsilon 0.0016022283408774788
INFO:2022-12-05 01:30:37:running reward: -21448.17 at episode 6, frame count 15900, epsilon 0.06019044567806663
INFO:2022-12-05 01:30:47:running reward: -21448.17 at episode 6, frame count 16000, epsilon 0.02180633487506329
INFO:2022-12-05 01:30:57:running reward: -21448.17 at episode 6, frame count 16100, epsilon 0.007900194712408964
INFO:2022-12-05 01:31:07:running reward: -21448.17 at episode 6, frame count 16200, epsilon 0.0028621534453892733
INFO:2022-12-05 01:31:18:running reward: -21448.17 at episode 6, frame count 16300, epsilon 0.001036926638287344
INFO:2022-12-05 01:31:28:running reward: -21448.17 at episode 6, frame count 16400, epsilon 0.03895392117442729
INFO:2022-12-05 01:31:39:running reward: -21448.17 at episode 6, frame count 16500, epsilon 0.014112576178114535
INFO:2022-12-05 01:31:50:running reward: -21448.17 at episode 6, frame count 16600, epsilon 0.005112830759482943
INFO:2022-12-05 01:32:02:running reward: -21448.17 at episode 6, frame count 16700, epsilon 0.0018523222156741205
INFO:2022-12-05 01:32:14:running reward: -21448.17 at episode 6, frame count 16800, epsilon 0.0695856494710045
INFO:2022-12-05 01:32:27:running reward: -21448.17 at episode 6, frame count 16900, epsilon 0.025210113627991238
INFO:2022-12-05 01:32:43:running reward: -21448.17 at episode 6, frame count 17000, epsilon 0.009133346228248625
INFO:2022-12-05 01:32:55:running reward: -21448.17 at episode 6, frame count 17100, epsilon 0.0033089106441964965
INFO:2022-12-05 01:33:07:running reward: -21448.17 at episode 6, frame count 17200, epsilon 0.0011987818459583788
INFO:2022-12-05 01:33:18:running reward: -21448.17 at episode 6, frame count 17300, epsilon 0.04503428864545839
INFO:2022-12-05 01:33:29:running reward: -21448.17 at episode 6, frame count 17400, epsilon 0.016315426277379738
INFO:2022-12-05 01:33:40:running reward: -21448.17 at episode 6, frame count 17500, epsilon 0.005910899064227988
INFO:2022-12-05 01:33:51:running reward: -21448.17 at episode 6, frame count 17600, epsilon 0.002141453563853955
INFO:2022-12-05 01:34:05:running reward: -21448.17 at episode 6, frame count 17700, epsilon 0.08044736266284182
INFO:2022-12-05 01:34:17:running reward: -21448.17 at episode 6, frame count 17800, epsilon 0.02914519256800991
INFO:2022-12-05 01:34:28:running reward: -21448.17 at episode 6, frame count 17900, epsilon 0.010558981944335787
INFO:2022-12-05 01:34:41:running reward: -21448.17 at episode 6, frame count 18000, epsilon 0.003825402746632875
INFO:2022-12-05 01:34:54:running reward: -21448.17 at episode 6, frame count 18100, epsilon 0.0013859012403933883
INFO:2022-12-05 01:35:05:running reward: -21448.17 at episode 6, frame count 18200, epsilon 0.05206374846632575
INFO:2022-12-05 01:35:18:running reward: -21448.17 at episode 6, frame count 18300, epsilon 0.018862122071335176
INFO:2022-12-05 01:35:31:running reward: -21448.17 at episode 6, frame count 18400, epsilon 0.006833538873292304
INFO:2022-12-05 01:35:42:running reward: -21448.17 at episode 6, frame count 18500, epsilon 0.0024757157946593404
INFO:2022-12-05 01:35:55:running reward: -21448.17 at episode 6, frame count 18600, epsilon 0.09300449458481394
INFO:2022-12-05 01:36:08:running reward: -21448.17 at episode 6, frame count 18700, epsilon 0.0336945030221216
INFO:2022-12-05 01:36:14:running reward: -21448.17 at episode 6, frame count 18747, epsilon 0.001786358019245739
INFO:2022-12-05 01:36:14:time per episode 349.6505 seconds
INFO:2022-12-05 01:36:14:epsilon is 0.001786358019245739, episode is 7
INFO:2022-12-05 01:36:20:running reward: -21641.29 at episode 7, frame count 18800, epsilon 0.006590185477903263
INFO:2022-12-05 01:36:34:running reward: -21641.29 at episode 7, frame count 18900, epsilon 0.0023875515424585823
INFO:2022-12-05 01:36:49:running reward: -21641.29 at episode 7, frame count 19000, epsilon 0.08969245378672715
INFO:2022-12-05 01:37:02:running reward: -21641.29 at episode 7, frame count 19100, epsilon 0.03249458715591843
INFO:2022-12-05 01:37:17:running reward: -21641.29 at episode 7, frame count 19200, epsilon 0.011772430676769304
INFO:2022-12-05 01:37:28:running reward: -21641.29 at episode 7, frame count 19300, epsilon 0.004265021844233421
INFO:2022-12-05 01:37:42:running reward: -21641.29 at episode 7, frame count 19400, epsilon 0.001545170392694149
INFO:2022-12-05 01:37:56:running reward: -21641.29 at episode 7, frame count 19500, epsilon 0.0580469663480544
INFO:2022-12-05 01:38:10:running reward: -21641.29 at episode 7, frame count 19600, epsilon 0.02102977594546134
INFO:2022-12-05 01:38:24:running reward: -21641.29 at episode 7, frame count 19700, epsilon 0.0076188559737046056
INFO:2022-12-05 01:38:37:running reward: -21641.29 at episode 7, frame count 19800, epsilon 0.002760227522090274
INFO:2022-12-05 01:38:50:running reward: -21641.29 at episode 7, frame count 19900, epsilon 0.0010000000000000002
INFO:2022-12-05 01:39:02:running reward: -21641.29 at episode 7, frame count 20000, epsilon 0.03756670890311598
INFO:2022-12-05 01:39:15:running reward: -21641.29 at episode 7, frame count 20100, epsilon 0.013610004466105522
INFO:2022-12-05 01:39:29:running reward: -21641.29 at episode 7, frame count 20200, epsilon 0.00493075456902875
INFO:2022-12-05 01:39:41:running reward: -21641.29 at episode 7, frame count 20300, epsilon 0.001786358019245739
INFO:2022-12-05 01:39:54:running reward: -21641.29 at episode 7, frame count 20400, epsilon 0.06710759170575145
INFO:2022-12-05 01:40:07:running reward: -21641.29 at episode 7, frame count 20500, epsilon 0.024312340619997878
INFO:2022-12-05 01:40:22:running reward: -21641.29 at episode 7, frame count 20600, epsilon 0.008808092965317064
INFO:2022-12-05 01:40:35:running reward: -21641.29 at episode 7, frame count 20700, epsilon 0.0031910749729235524
INFO:2022-12-05 01:40:50:running reward: -21641.29 at episode 7, frame count 20800, epsilon 0.0011560912813835744
INFO:2022-12-05 01:41:02:running reward: -21641.29 at episode 7, frame count 20900, epsilon 0.043430544633167076
INFO:2022-12-05 01:41:15:running reward: -21641.29 at episode 7, frame count 21000, epsilon 0.0157344075028561
INFO:2022-12-05 01:41:28:running reward: -21641.29 at episode 7, frame count 21100, epsilon 0.00570040236789636
INFO:2022-12-05 01:41:40:running reward: -21641.29 at episode 7, frame count 21200, epsilon 0.0020651929314796274
INFO:2022-12-05 01:41:56:running reward: -21641.29 at episode 7, frame count 21300, epsilon 0.07758250168566791
INFO:2022-12-05 01:42:11:running reward: -21641.29 at episode 7, frame count 21400, epsilon 0.028107285020807282
INFO:2022-12-05 01:42:24:running reward: -21641.29 at episode 7, frame count 21500, epsilon 0.01018295948281905
INFO:2022-12-05 01:42:38:running reward: -21641.29 at episode 7, frame count 21600, epsilon 0.0036891739544382437
INFO:2022-12-05 01:42:55:running reward: -21641.29 at episode 7, frame count 21700, epsilon 0.001336547050891116
INFO:2022-12-05 01:43:08:running reward: -21641.29 at episode 7, frame count 21800, epsilon 0.05020967399614466
INFO:2022-12-05 01:43:22:running reward: -21641.29 at episode 7, frame count 21900, epsilon 0.01819041133178823
INFO:2022-12-05 01:43:35:running reward: -21641.29 at episode 7, frame count 22000, epsilon 0.006590185477903263
INFO:2022-12-05 01:43:48:running reward: -21641.29 at episode 7, frame count 22100, epsilon 0.0023875515424585823
INFO:2022-12-05 01:44:00:running reward: -21641.29 at episode 7, frame count 22200, epsilon 0.08969245378672715
INFO:2022-12-05 01:44:12:running reward: -21641.29 at episode 7, frame count 22300, epsilon 0.03249458715591843
INFO:2022-12-05 01:44:18:running reward: -21641.29 at episode 7, frame count 22346, epsilon 0.0016613932472747926
INFO:2022-12-05 01:44:18:time per episode 483.7027 seconds
INFO:2022-12-05 01:44:18:epsilon is 0.0016613932472747926, episode is 8
INFO:2022-12-05 01:44:25:running reward: -21173.88 at episode 8, frame count 22400, epsilon 0.006833538873292304
INFO:2022-12-05 01:44:38:running reward: -21173.88 at episode 8, frame count 22500, epsilon 0.0024757157946593404
INFO:2022-12-05 01:44:50:running reward: -21173.88 at episode 8, frame count 22600, epsilon 0.09300449458481394
INFO:2022-12-05 01:45:02:running reward: -21173.88 at episode 8, frame count 22700, epsilon 0.0336945030221216
INFO:2022-12-05 01:45:14:running reward: -21173.88 at episode 8, frame count 22800, epsilon 0.012207146966133196
INFO:2022-12-05 01:45:26:running reward: -21173.88 at episode 8, frame count 22900, epsilon 0.004422514763163049
INFO:2022-12-05 01:45:38:running reward: -21173.88 at episode 8, frame count 23000, epsilon 0.0016022283408774788
INFO:2022-12-05 01:45:50:running reward: -21173.88 at episode 8, frame count 23100, epsilon 0.06019044567806663
INFO:2022-12-05 01:46:03:running reward: -21173.88 at episode 8, frame count 23200, epsilon 0.02180633487506329
INFO:2022-12-05 01:46:17:running reward: -21173.88 at episode 8, frame count 23300, epsilon 0.007900194712408964
INFO:2022-12-05 01:46:30:running reward: -21173.88 at episode 8, frame count 23400, epsilon 0.0028621534453892733
INFO:2022-12-05 01:46:43:running reward: -21173.88 at episode 8, frame count 23500, epsilon 0.001036926638287344
